study,run_name,epochs_logged,best_dist,best_epoch,final_dist,wall_to_best_min,wall_total_min,final_train_loss,final_pred_diversity,final_softmax_entropy,final_grad_diversity
tau_sweep.pkl,τ=0.07,134,0.658132920662562,103,0.7252891461054484,nan,nan,0.7259932760774654,2.3302497587561835,0.054819170214606576,0.6003892273441462
tau_sweep.pkl,τ=0.1,200,0.7145830889542898,197,0.7295750478903452,nan,nan,0.8244147918520183,2.285557126320165,0.06629614477734834,0.7076844910951127
tau_sweep.pkl,τ=0.12,200,0.7010403176148733,176,0.7124492526054382,nan,nan,0.8423488531669561,2.3360383001713534,0.07263550488801604,0.618601741340873
tau_sweep.pkl,τ=0.15,200,0.5625122090180715,177,0.5793860455354055,nan,nan,0.6237337014970988,2.386317112784353,0.07430758446612855,0.4584833576007155
tau_sweep.pkl,τ=0.2,200,0.6307368477185568,194,0.6407660146554311,nan,nan,0.6835389563637059,2.409425520999216,0.08703020641522007,0.5091459846820339
tau_sweep.pkl,τ=0.3,145,0.8891462882359823,114,0.9746995766957601,nan,nan,1.5943284896168395,2.2364625083480143,0.22904868283249705,0.7142447847741034
power_sweep.pkl,p=1.0,135,0.9015616973241171,104,0.9343161284923553,nan,nan,1.0325040939080454,2.182568930758333,0.23638439351725227,0.7032410498233901
power_sweep.pkl,p=1.5,132,0.8435190916061401,101,0.8803872664769491,nan,nan,1.0996215865559822,2.219565306756307,0.19916336828064607,0.6824584791097275
power_sweep.pkl,p=2.0,124,0.813352902730306,93,0.8407818078994751,nan,nan,1.1738186735306344,2.1879340256493767,0.1468253969766419,0.6477150597630289
power_sweep.pkl,p=3.0,200,0.7010403176148733,176,0.7124492526054382,nan,nan,0.8423488531669561,2.3360383001713534,0.07263550488801604,0.618601741340873
power_sweep.pkl,p=4.0,150,0.7153455714384714,119,0.7283512651920319,nan,nan,0.8332327669554384,2.3043926646142747,0.06435498551295067,0.4598466666825108
power_sweep.pkl,p=5.0,200,0.7561858395735422,179,0.7749214470386505,nan,nan,0.9894432125300386,2.239939249074087,0.06697362270401223,0.46029753884986047
data_scale.pkl,Chamfer n=5k,194,1.1220819354057312,163,1.1261000037193298,nan,nan,1.2427404165267943,2.0123924461126355,0.30658239502321244,0.6900908506318254
data_scale.pkl,PM3 n=5k,200,0.9555445313453674,191,0.9588647186756134,nan,nan,1.0549952030181884,2.201003076678678,0.11605348771970876,0.3463114377057839
data_scale.pkl,Chamfer n=20k,65,1.1333366831143696,34,1.1637419859568279,nan,nan,1.2586651980876922,2.0062909139320255,0.37764990162741424,0.7542917383420377
data_scale.pkl,PM3 n=20k,200,0.7730675141016642,195,0.7734982172648112,nan,nan,0.8189256682991981,2.3217865029582754,0.07914075922897813,0.5703287654450564
data_scale.pkl,Chamfer n=70k,65,1.089279015858968,34,1.0931545495986938,nan,nan,1.201481867010576,2.081747850210928,0.29446727859962424,0.6796843365026335
