[gpu1] Starting: tau0.12_slots1_warmup0
Run:        pm3_tau0.12_slots1_warmup0
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots1_warmup0.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  34 | loss=1.2288 dist=0.9867 div=2.098 H=0.099 gd=0.665 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  35 | loss=1.2339 dist=0.9730 div=2.116 H=0.100 gd=0.639 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  36 | loss=1.2326 dist=0.9655 div=2.109 H=0.100 gd=0.653 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  37 | loss=1.2184 dist=0.9666 div=2.118 H=0.101 gd=0.683 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  38 | loss=1.2127 dist=0.9705 div=2.109 H=0.100 gd=0.689 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  39 | loss=1.2100 dist=0.9638 div=2.125 H=0.101 gd=0.618 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  40 | loss=1.1881 dist=0.9579 div=2.126 H=0.101 gd=0.602 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  41 | loss=1.1923 dist=0.9565 div=2.124 H=0.101 gd=0.655 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  42 | loss=1.1843 dist=0.9548 div=2.143 H=0.101 gd=0.617 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  43 | loss=1.1756 dist=0.9513 div=2.138 H=0.100 gd=0.634 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  44 | loss=1.1718 dist=0.9451 div=2.124 H=0.101 gd=0.604 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  45 | loss=1.1701 dist=0.9461 div=2.125 H=0.100 gd=0.620 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  46 | loss=1.1690 dist=0.9423 div=2.129 H=0.099 gd=0.597 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  47 | loss=1.1615 dist=0.9424 div=2.129 H=0.100 gd=0.600 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  48 | loss=1.1711 dist=0.9438 div=2.124 H=0.099 gd=0.668 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  49 | loss=1.1565 dist=0.9464 div=2.148 H=0.096 gd=0.606 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  50 | loss=1.1471 dist=0.9368 div=2.145 H=0.099 gd=0.634 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  51 | loss=1.1809 dist=0.9375 div=2.143 H=0.098 gd=0.637 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  52 | loss=1.1251 dist=0.9058 div=2.176 H=0.096 gd=0.600 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  53 | loss=1.1290 dist=0.9097 div=2.147 H=0.098 gd=0.608 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  54 | loss=1.1396 dist=0.9507 div=2.142 H=0.098 gd=0.652 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  55 | loss=1.1416 dist=0.9395 div=2.133 H=0.100 gd=0.627 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  56 | loss=1.1499 dist=0.9374 div=2.126 H=0.097 gd=0.642 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  57 | loss=1.1219 dist=0.9319 div=2.140 H=0.097 gd=0.638 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  58 | loss=1.1176 dist=0.9353 div=2.129 H=0.095 gd=0.632 lr=8.49e-04
