[gpu3] Starting: tau0.12_slots1_warmup1
Run:        pm3_tau0.12_slots1_warmup1
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots1_warmup1.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  34 | loss=1.4484 dist=1.0100 div=2.070 H=0.105 gd=0.687 lr=8.00e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  35 | loss=1.4132 dist=1.0111 div=2.058 H=0.103 gd=0.693 lr=7.97e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  36 | loss=1.3995 dist=1.0293 div=2.064 H=0.106 gd=0.692 lr=7.93e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  37 | loss=1.3915 dist=0.9956 div=2.082 H=0.105 gd=0.723 lr=7.90e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  38 | loss=1.3996 dist=1.0348 div=2.060 H=0.110 gd=0.721 lr=7.86e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  39 | loss=1.3924 dist=0.9916 div=2.071 H=0.104 gd=0.652 lr=7.83e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  40 | loss=1.4000 dist=0.9849 div=2.085 H=0.104 gd=0.767 lr=7.79e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  41 | loss=1.3780 dist=0.9741 div=2.090 H=0.099 gd=0.694 lr=7.75e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  42 | loss=1.3506 dist=0.9534 div=2.100 H=0.098 gd=0.681 lr=7.71e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  43 | loss=1.3106 dist=0.8883 div=2.168 H=0.107 gd=0.673 lr=7.68e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  44 | loss=1.2648 dist=0.8763 div=2.176 H=0.108 gd=0.695 lr=7.63e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  45 | loss=1.2486 dist=0.9010 div=2.157 H=0.106 gd=0.692 lr=7.59e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  46 | loss=1.2751 dist=0.8947 div=2.162 H=0.113 gd=0.657 lr=7.55e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  47 | loss=1.2360 dist=0.8783 div=2.181 H=0.106 gd=0.672 lr=7.51e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  48 | loss=1.2098 dist=0.9379 div=2.148 H=0.101 gd=0.696 lr=7.46e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  49 | loss=1.1876 dist=0.8402 div=2.185 H=0.101 gd=0.630 lr=7.42e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  50 | loss=1.1551 dist=0.8819 div=2.176 H=0.095 gd=0.660 lr=7.37e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  51 | loss=1.1539 dist=0.8519 div=2.196 H=0.099 gd=0.674 lr=7.33e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  52 | loss=1.1451 dist=0.8483 div=2.186 H=0.099 gd=0.654 lr=7.28e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  53 | loss=1.1633 dist=0.8452 div=2.196 H=0.096 gd=0.677 lr=7.23e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  54 | loss=1.1125 dist=0.8433 div=2.196 H=0.094 gd=0.665 lr=7.18e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  55 | loss=1.1023 dist=0.8217 div=2.208 H=0.098 gd=0.708 lr=7.13e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  56 | loss=1.1391 dist=1.0206 div=2.043 H=0.105 gd=0.675 lr=7.08e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  57 | loss=1.1897 dist=0.8255 div=2.210 H=0.096 gd=0.659 lr=7.03e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  58 | loss=1.1068 dist=0.8873 div=2.192 H=0.103 gd=0.777 lr=6.98e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  59 | loss=1.1317 dist=0.8416 div=2.203 H=0.099 gd=0.669 lr=6.93e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  60 | loss=1.0596 dist=0.8295 div=2.229 H=0.092 gd=0.665 lr=6.87e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  61 | loss=1.0422 dist=0.8276 div=2.220 H=0.089 gd=0.684 lr=6.82e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  62 | loss=1.0581 dist=0.7980 div=2.229 H=0.091 gd=0.688 lr=6.76e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  63 | loss=1.0338 dist=0.8292 div=2.214 H=0.091 gd=0.643 lr=6.71e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  64 | loss=1.0817 dist=0.8418 div=2.232 H=0.093 gd=0.644 lr=6.65e-04
