[gpu2] Starting: tau0.12_slots0_warmup1
Run:        pm3_tau0.12_slots0_warmup1
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots0_warmup1.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  34 | loss=0.9043 dist=0.7820 div=2.279 H=0.079 gd=0.626 lr=8.00e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  35 | loss=0.8969 dist=0.7900 div=2.277 H=0.083 gd=0.565 lr=7.97e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  36 | loss=0.8964 dist=0.7739 div=2.266 H=0.078 gd=0.574 lr=7.93e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  37 | loss=0.8784 dist=0.7782 div=2.274 H=0.079 gd=0.587 lr=7.90e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  38 | loss=0.8745 dist=0.7519 div=2.295 H=0.074 gd=0.599 lr=7.86e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  39 | loss=0.8622 dist=0.7568 div=2.305 H=0.074 gd=0.603 lr=7.83e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  40 | loss=0.8507 dist=0.7409 div=2.281 H=0.077 gd=0.579 lr=7.79e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  41 | loss=0.8546 dist=0.7575 div=2.287 H=0.075 gd=0.621 lr=7.75e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  42 | loss=0.8373 dist=0.7479 div=2.302 H=0.076 gd=0.573 lr=7.71e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  43 | loss=0.8164 dist=0.7408 div=2.301 H=0.075 gd=0.523 lr=7.68e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  44 | loss=0.8293 dist=0.7318 div=2.296 H=0.073 gd=0.574 lr=7.63e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  45 | loss=0.8240 dist=0.7481 div=2.282 H=0.078 gd=0.614 lr=7.59e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  46 | loss=0.8241 dist=0.7358 div=2.291 H=0.073 gd=0.593 lr=7.55e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  47 | loss=0.8084 dist=0.7289 div=2.303 H=0.073 gd=0.584 lr=7.51e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  48 | loss=0.8067 dist=0.7323 div=2.301 H=0.074 gd=0.553 lr=7.46e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  49 | loss=0.7965 dist=0.7253 div=2.319 H=0.072 gd=0.574 lr=7.42e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  50 | loss=0.7846 dist=0.7107 div=2.320 H=0.070 gd=0.548 lr=7.37e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  51 | loss=0.7769 dist=0.7167 div=2.320 H=0.071 gd=0.588 lr=7.33e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  52 | loss=0.7793 dist=0.7167 div=2.303 H=0.071 gd=0.591 lr=7.28e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  53 | loss=0.7781 dist=0.7170 div=2.318 H=0.071 gd=0.554 lr=7.23e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  54 | loss=0.7836 dist=0.7309 div=2.316 H=0.072 gd=0.612 lr=7.18e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  55 | loss=0.7921 dist=0.7258 div=2.317 H=0.070 gd=0.557 lr=7.13e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  56 | loss=0.7857 dist=0.7208 div=2.309 H=0.071 gd=0.596 lr=7.08e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  57 | loss=0.7772 dist=0.7148 div=2.308 H=0.071 gd=0.566 lr=7.03e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  58 | loss=0.7865 dist=0.7290 div=2.306 H=0.072 gd=0.577 lr=6.98e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  59 | loss=0.7706 dist=0.7039 div=2.322 H=0.070 gd=0.603 lr=6.93e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  60 | loss=0.7780 dist=0.7060 div=2.309 H=0.068 gd=0.584 lr=6.87e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  61 | loss=0.7816 dist=0.7142 div=2.299 H=0.072 gd=0.579 lr=6.82e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  62 | loss=0.7609 dist=0.7034 div=2.321 H=0.070 gd=0.583 lr=6.76e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  63 | loss=0.7589 dist=0.7136 div=2.289 H=0.071 gd=0.608 lr=6.71e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  64 | loss=0.7527 dist=0.6930 div=2.318 H=0.067 gd=0.560 lr=6.65e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  65 | loss=0.7472 dist=0.6920 div=2.318 H=0.067 gd=0.554 lr=6.60e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  66 | loss=0.7601 dist=0.7212 div=2.317 H=0.067 gd=0.624 lr=6.54e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  67 | loss=0.7569 dist=0.7003 div=2.317 H=0.068 gd=0.613 lr=6.48e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  68 | loss=0.7496 dist=0.6911 div=2.337 H=0.067 gd=0.584 lr=6.42e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  69 | loss=0.7546 dist=0.7052 div=2.334 H=0.067 gd=0.615 lr=6.36e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  70 | loss=0.7505 dist=0.6916 div=2.312 H=0.070 gd=0.607 lr=6.30e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  71 | loss=0.7465 dist=0.6931 div=2.316 H=0.067 gd=0.580 lr=6.24e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  72 | loss=0.7353 dist=0.7076 div=2.316 H=0.069 gd=0.598 lr=6.18e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  73 | loss=0.7627 dist=0.6970 div=2.332 H=0.066 gd=0.601 lr=6.12e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  74 | loss=0.7328 dist=0.6816 div=2.309 H=0.065 gd=0.586 lr=6.06e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  75 | loss=0.7356 dist=0.7010 div=2.319 H=0.068 gd=0.580 lr=6.00e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  76 | loss=0.7302 dist=0.7029 div=2.299 H=0.066 gd=0.565 lr=5.94e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  77 | loss=0.7193 dist=0.6855 div=2.318 H=0.066 gd=0.606 lr=5.87e-04
